"Инвестиции и трошоци за  заштита на животната средина, во 000 денари"

"Намена","2014 Вкупно инвестиции и трошоци"
"Управување со отпадни води",1062425.31
"Циркулациски систем за снабдување со вода",1668597.33
"Заштита на воздухот",844896.87
"Заштита на почвата, површинските и подземните води",119106.39
"Заштита на шумите",1477.74
"Заштита на биодиверзитетот и природата",93909.26
"Лов и риболов",-
"Постапување со отпад",1170557.36
"Заштита од бучава",123066.23
"Активности за истражување и развој",44965.25
"Образовни, воспитни и други слични активности",1890.02
"Административна активност",1393587.54
"Опрема за мониторинг и контрола, анализа и трошоци за одржување на опремата",92476.05
"Оценување на влијанието на животната средина и оценување на конзистентноста",5086.22
